brand,year_of_manufacture,age,repair_status,problem,fault_type
Samsung,unknown,unknown,Repairable,Battery doesn't charge. Charging board defective.,Battery issues
Apple,2021,3,Repairable,Replace battery.,Battery
Samsung,2018,6,Repairable,No picture.,Battery issues
Apple,2020,4,Repairable,Software update.,Other damage
Apple,2017,7,Repairable,Display replacement.,Screen damage
Apple,2018,6,Repairable,Bootloop.,Other damage
Samsung,2020,4,Repairable,Continued on 12/5/24: - Backplate glued in place.,Other damage
Samsung,2020,4,Repairable,Charging socket defective. - Charging socket PCB changed (access via back cover). Assembly will take place at the next appointment.,Charge port issue
Samsung,2020,4,Repairable,Display damage.,Display issues
Apple,2019,5,Repairable,"Bootloop, reset and recovery.",Other damage
Samsung,2020,4,Repairable,Charging socket defective. Guest orders charging board and gets in touch again.,Battery issues
Samsung,2010,14,Repairable,Akku defekt.,Other damage
Samsung,2017,7,Repairable,WhatsApp and “Google PlayStore” no longer work. - Device memory full - Factory reset - Cloud backup installed.,Other damage
Samsung,2015,9,Repairable,Stuck in app optimization when starting. - boot into recovery mode - clear cache wasn't enough - factory reset.,Other damage
Samsung,2019,5,Repairable,Bootloop.,Other damage
Apple,2021,3,Repairable,Doesn't load.,Battery
Apple,2020,4,Repairable,Accessibility setup.,Other damage
Apple,2021,3,Repairable,"Battery defective, replace.",Battery
Apple,unknown,unknown,Repairable,It's turned off and won't turn on anymore.,Other damage
Samsung,unknown,unknown,End of life,Pictures lost.,Other damage
Apple,2016,8,Repairable,Replace battery.,Battery
Samsung,2009,15,Repairable,Identify charging cable.,Battery issues
Samsung,unknown,unknown,Repairable,"Voice message no longer works --- Microphone cleaned and tested, works (actually no direct error found)",Other damage
Apple,2021,3,Repairable,Data transfer and setup.,Other damage
Apple,2016,8,Repairable,Replace battery.,Battery
Apple,unknown,unknown,Repairable,Display is cracked - KD has purchased a new display.,Screen damage
Samsung,unknown,unknown,End of life,The device fell into the water and now you can't tap 3 anymore.,Other damage
Samsung,2020,4,Repairable,Smartphone could no longer be started after being damaged by a drop. No reaction. The back was removed and the battery plug was reinstalled.,Battery issues
Samsung,2019,5,Repairable,"Back plate loose, falling off. - Glue spots cleaned - Backplate glued back in place.",Other damage
Samsung,unknown,unknown,End of life,"0.3 kg, display broken.",Display issues
Samsung,unknown,unknown,End of life,Cell phone doesn't turn on.,Battery issues
Samsung,2021,3,Repairable,"Files end up in the trash, memory is always full. - 46000 photos in device storage - moved to SD card.",Other damage
Samsung,unknown,unknown,Repairable,"goes on and off, upload mode, thermal reset, motherboard probably broken.",Display issues
Samsung,2020,4,Repairable,Change battery.,Battery issues
Samsung,2024,0,Repairable,"Speaker defective. - Back cover, screws and frame removed - Adhesive residue using isoprop. removed - loudspeaker exchanged.",Other damage
Samsung,unknown,unknown,Repairable,Error message: Memory is full.,Other damage
Samsung,unknown,unknown,End of life,Display doesn't turn on.,Battery issues
Samsung,unknown,unknown,End of life,Display damage. Replacement display also defective. Repairs are no longer worth it.,Display issues
Apple,unknown,unknown,End of life,Data recovery.,Other damage
Apple,2018,6,Repairable,Change screen.,Screen damage
Apple,2019,5,Repairable,Display defective.,Screen damage
Samsung,unknown,unknown,Repairable,"0.125 kg, battery defective - no longer charging.",Battery issues
Samsung,unknown,unknown,Repairable,Battery no longer charges. Battery was replaced successfully.,Battery issues
Samsung,2019,5,Repairable,battery is being replaced.,Battery issues
Samsung,2019,5,End of life,"The battery and charging socket circuit board have already been changed by the guest. However, the smartphone does not respond. Both the battery and USB voltage arrive on the mainboard. However, the device no longer responds. An error could not be found.",Battery issues
Samsung,2019,5,Repairable,"The battery usually doesn't charge. Pressing the USB plug could sometimes restore the connection. A new circuit board with a USB socket was inserted and a flex cable that was too kinked, which also caused charging problems, was replaced. Now loading is working properly again.",Charge port issue
Samsung,unknown,unknown,Repairable,Touchscreen broken.,Display issues
Apple,unknown,unknown,Repairable,Display damage.,Screen damage
Samsung,unknown,unknown,End of life,Can no longer be switched on.,Other damage
Samsung,unknown,unknown,End of life,The device can no longer be switched on.,Other damage
Apple,unknown,unknown,Repairable,Charging doesn't work.,Battery
Apple,unknown,unknown,Repairable,Display replacement.,Screen damage
Apple,2014,10,End of life,Software update.,Other damage
Apple,2014,10,Repairable,Display damage.,Screen damage
Apple,2016,8,Repairable,Akku defekt.,Other damage
Samsung,unknown,unknown,Repairable,Help in choosing a suitable memory card.,Other damage
Apple,unknown,unknown,Repairable,Battery old &gt;&gt; Visitor brought the wrong battery.,Battery
Samsung,2019,5,Repairable,Camera no longer works properly. - Main board including camera module changed.,Other damage
Apple,2014,10,Repairable,Battery replacement/advice.,Battery
Apple,unknown,unknown,Repairable,Cell phone glass has cracks.,Screen damage
Apple,unknown,unknown,Repairable,Display damage.,Screen damage
Apple,2018,6,Repairable,Display damage.,Screen damage
Apple,2018,6,Repairable,Akkuwechsel.,Other damage
Samsung,2018,5,Repairable,Display glass is cracked / display needs to be replaced. The guest has purchased a display replacement set. We swapped the display together. Device is working again.,Display issues
Samsung,2020,3,Repairable,"Doesn't turn on, battery doesn't charge.",Battery issues
Samsung,2021,2,Repairable,Display replacement and USB port.,Display issues
Samsung,2019,4,Repairable,Change battery.,Battery issues
Samsung,2018,5,Repairable,"Display error: flickers, sometimes black in cold temperatures. Display needs to be changed.",Display issues
Apple,unknown,unknown,Repairable,Factory reset for sales.,Other damage
Samsung,2018,5,Repairable,The system reacts slowly after replacing the display. A quick diagnosis shows that the Android accessibility features were active. Deactivated and the system is performing again.,Display issues
Samsung,unknown,unknown,Repairable,Setting up an email client on a new smartphone.,Other damage
Apple,unknown,unknown,End of life,"On/off switch defective,",Other damage
Samsung,2020,3,Repairable,"When you connect a charger, your cell phone turns off. - Charging board was changed twice - Problem still exists - Device is now only charged via QI.",Other damage
Samsung,2017,6,Repairable,Screen broken. - unfortunately ordered the wrong display - guest ordered a suitable one.,Display issues
Samsung,2017,6,Repairable,"Continued on November 15th, 2023: - correct display installed.",Display issues
Apple,unknown,unknown,Repairable,Akku defekt.,Other damage
Samsung,unknown,unknown,Unknown,"Display no longer works and is torn. Dismantling has begun, battery cannot be easily removed. postponed due to lack of time.",Display issues
Apple,2014,9,Repairable,Change battery.,Battery
Samsung,unknown,unknown,Repairable,Cannot connect to WiFi. Incorrect login details.,Other damage
Apple,unknown,unknown,Repairable,Display and camera should be replaced --- parts from donor device installed.,Screen damage
Samsung,unknown,unknown,Repairable,Lfz.433: Display defective. Display renewed.,Display issues
Apple,2016,7,Repairable,Replace display.,Screen damage
Samsung,unknown,unknown,Repairable,Remove the vibration function.,Other damage
Samsung,2017,6,End of life,"Battery too weak, replacement battery available.",Battery issues
Apple,unknown,unknown,Repairable,old and has problems - he wants to open it himself with support &gt;&gt; Replacement battery is ordered by visitor.,Battery
Samsung,unknown,unknown,Repairable,Lfz.385: display replacement.,Display issues
Apple,2018,5,Repairable,Battery no longer runs. - The touch functionality was damaged when the display was removed. - The guest decides at home whether he would like to install a new display.,Screen damage
Apple,2015,8,Repairable,Change battery.,Battery
Samsung,2016,7,Repairable,"0.5 kg, lens defective.",Rear Camera Issues
Samsung,unknown,unknown,Repairable,Lfz. 367: Inexplicable reports. Fix: Virus scanner installed. Screen lock will be set up later.,Other damage
Apple,2017,6,Repairable,"Battery replacement, data backup.",Battery
Samsung,unknown,unknown,Repairable,Displaybruch.,Other damage
Samsung,2018,5,Repairable,App Signal could not be installed via Google Playstore. Playstore data and cache reset. Installation works now.,Other damage
Samsung,unknown,unknown,Repairable,Rear camera lens glass broken.,Rear Camera Issues
Samsung,2020,3,End of life,Cannot be switched on despite the battery being charged.,Battery issues
Samsung,unknown,unknown,Repairable,Lfz.212: Device always crashes. Smartphone reset to factory settings.,Other damage
Samsung,2019,3,Repairable,"Dust behind camera lens, black dot on rear camera. Compressed air blown through -&gt; clean.",Rear Camera Issues
Apple,unknown,unknown,End of life,Camera no longer focuses properly.,Other damage
Samsung,2018,4,Repairable,"Can no longer be charged, USB socket is defective. Socket changed.",Other damage
Samsung,unknown,unknown,End of life,Doesn't ring.,Battery issues
Samsung,2018,4,End of life,Micro USB socket defective. The AMOLED display was damaged during removal. The repair search was canceled. Data backup is available. The guest gets a new smartphone.,Charge port issue
Apple,2016,6,Repairable,Akkuwechsel.,Other damage
Apple,2016,6,Repairable,Akkuwechsel.,Other damage
Samsung,2019,3,Repairable,Touchscreen broken.,Display issues
Samsung,unknown,unknown,End of life,Lfz. 93: Microphone in loudspeaker mode drops out.,Other damage
Samsung,unknown,unknown,Repairable,Display cracked.,Display issues
Samsung,2020,2,Repairable,Back cover broken - replaced.,Display issues
Samsung,2014,8,Repairable,Charging socket defective - replaced.,Charge port issue
Samsung,unknown,unknown,Unknown,"0.2 kg input error, device switches off. Guest checks device to see whether it works with external power supply.",Other damage
Samsung,2017,5,Repairable,Main camera defective. Main camera camera module changed; used camera module apparently defective; Guest changes module for new part.,Rear Camera Issues
Samsung,2016,6,Repairable,Battery needs to be changed.,Battery issues
Samsung,unknown,unknown,Repairable,Power switch defective.,Battery issues
Samsung,2018,4,Repairable,Powerbutton.,Other damage
Samsung,2015,7,Repairable,Replace battery.,Battery issues
Samsung,2013,9,Repairable,The smartphone no longer showed a picture. The display was visibly damaged. We provided advice on replacing the display and procuring spare parts.,Display issues
Samsung,unknown,unknown,End of life,no longer loads.,Other damage
Samsung,2016,6,Repairable,Software is not working properly.,Other damage
Samsung,2014,8,Repairable,Charging socket changed. Spare part purchased by customer (from World of mobiles),Display issues
Apple,2018,4,Repairable,"After a fall, the home button stopped working. We checked the connections. After unplugging and plugging in the cable, the button worked again.",Other damage
Apple,2019,3,Repairable,"Display shows colorful stripes after battery replacement. Checked plug connection, ok. Display damage detected, order will be placed.",Screen damage
Apple,unknown,unknown,Repairable,"Display replaced, not enough time, still needs to be glued in.",Screen damage
Apple,2019,3,Repairable,Display glued in.,Screen damage
Samsung,unknown,unknown,Repairable,Charging socket defective.,Charge port issue
Samsung,2012,10,Repairable,Change charging socket.,Charge port issue
Samsung,unknown,unknown,Repairable,Display and battery - Display and battery replaced.,Display issues
Apple,unknown,unknown,Repairable,Swap screen.,Screen damage
Samsung,2019,3,Repairable,Volume control broken.,Other damage
Samsung,2020,2,Repairable,Camera glass cracked after a fall and crumbs scratched the lens.,Display issues
Samsung,unknown,unknown,End of life,Doesn't turn on.,Battery issues
Samsung,unknown,unknown,End of life,flickers green.,Other damage
Samsung,2018,3,Repairable,"The speaker only worked quietly or not at all. In order to avoid having to disassemble the device, we tried a trick. We sprayed a few puffs of “Contact WL” spray into the speaker grill to resolve the suspected contact issues. That also helped a lot, after shaking the spray out of the phone the speaker worked fine again.",Other damage
Samsung,2019,2,Repairable,Back defective. New back glued on.,Display issues
Samsung,unknown,unknown,End of life,Akkutausch.,Other damage
Apple,unknown,unknown,End of life,"Charging board changed, adhesive film on display broken. Rep is set for routing slip ID: 34379.",Screen damage
Apple,unknown,unknown,Repairable,"Display cracked, charging socket defective. Both were ordered, but the charging socket didn't fit because it's for an iPhone 7 Max. Matching items will be ordered.",Screen damage
Apple,unknown,unknown,Repairable,Smartphone completed today.,Other damage
Samsung,unknown,unknown,Repairable,Doesn't start anymore.,Battery issues
Samsung,unknown,unknown,Repairable,Display needs to be replaced.,Display issues
Samsung,unknown,unknown,Unknown,Memory full. De-installation was only partially successful.,Other damage
Apple,unknown,unknown,Repairable,No function device requires the owner's finger.,Other damage
Samsung,2015,6,Repairable,"It had fallen down and was acting strange. When I turned it on it started, but the display didn't come on. If you tapped on a specific spot, the display would turn on, but sometimes it would simply turn off again. We couldn't find any cracks on the display. We completely disassembled the device looking for a loose plug, but found nothing unusual. After assembling the device worked again without any problems. Perhaps we had now reattached a plug that was no longer completely tight? The owner will continue to monitor and come back if the error occurs again.",Battery issues
Samsung,2015,6,Repairable,Charging no longer worked. You had to use a lot of skill to find a position for the USB plug where it worked. The USB sockets were defective here. We picked out the spare parts.,Battery issues
Samsung,2016,5,Repairable,The battery gets hot when charging and doesn't last long. Owner had replacement/repair kit with him. Battery changed.,Battery issues
Samsung,2016,4,Repairable,"Microphone defective after battery replacement. Device disassembled, time not enough.",Battery issues
Samsung,2018,2,End of life,doesn't come on.,Battery issues
Samsung,2011,9,Repairable,"The guest had two smartphones with him to make a working one. The first had a defect in the display and the motherboard, the other had a broken microphone, but still had a good battery. The operation was successful and the result was a well-functioning device.",Other damage
Samsung,unknown,unknown,Repairable,"Updates were not installed and various settings were not to the owner's satisfaction. We carried out the updates, made the desired settings and explained the operation to her.",Display issues
Samsung,2018,2,Repairable,The SIM card holder was broken and the SIM card was stuck in the device. To get the card out we had to open the device. The guest had brought a new adhesive frame as a spare part so that we could reassemble the phone properly. He will take care of a new SIM tray himself.,Other damage
Samsung,unknown,unknown,Repairable,back to factory settings.,Other damage
Apple,unknown,unknown,End of life,Battery bloated.,Battery
Apple,2015,5,Repairable,"The visitor brought the iPhone with a broken display and had also gotten the right replacement display. With good instructions online and a lot of patience, one of our “specialists” was able to give the device with a new display back to its owner at the end of the day.",Screen damage
Apple,unknown,unknown,Repairable,does not load &gt;&gt; Interruption afterwards.,Other damage
Samsung,unknown,unknown,End of life,doesn't come on.,Battery issues
Apple,unknown,unknown,Repairable,Replace display.,Screen damage
Apple,unknown,unknown,Repairable,"Following instructions on the Internet, the guest independently replaced the old battery and the worn charging socket, for which he had previously purchased suitable replacement parts. Disassembly, replacement and assembly went smoothly. The only drawback: the Touch ID function no longer worked afterwards and now has to be reactivated again.",Screen damage
Samsung,unknown,unknown,End of life,"Display &gt;&gt; glued, but not repairable.",Display issues
Apple,unknown,unknown,Repairable,Display cracked.,Screen damage
Samsung,unknown,unknown,Repairable,Display replacement.,Display issues
Apple,unknown,unknown,Repairable,Software defect. The firmware and software were updated via developer mode.,Other damage
Samsung,unknown,unknown,Repairable,bad contact at charging socket.,Charge port issue
Apple,unknown,unknown,Repairable,Water damage.,Other damage
Apple,2015,4,Repairable,Water damage.,Other damage
Apple,2014,5,Repairable,The battery of an “Apple iPhone 4” was once again deeply discharged. So much so that it was no longer possible to shop. The only thing that helps is a new battery. The guest comes back with the new one.,Battery
Samsung,2018,1,Repairable,Contact on sim card was dirty.,Other damage
Samsung,unknown,unknown,Repairable,"Smartphone plug wobbles, no function - battery totally empty - partial success.",Battery issues
Apple,2014,5,Repairable,"The owner of an “iPhone 5s” smartphone had already replaced the battery at home, but unfortunately the device no longer started. He checked all the plug connections and that didn't make any difference. We suspected that the battery was not sufficiently charged and recommended charging it for some time.",Battery
Apple,unknown,unknown,End of life,to.,Other damage
Samsung,unknown,unknown,Repairable,charging socket.,Charge port issue
Samsung,unknown,unknown,Repairable,Akku defekt.,Other damage
Samsung,unknown,unknown,Repairable,Display defective.,Display issues
Samsung,2012,7,Repairable,"eMMC memory defective, device very slow. Owner provided a replacement mainboard. After the swap everything worked except the camera. He does a FW update at home and comes back if the camera doesn't work.",Rear Camera Issues
Samsung,unknown,unknown,Repairable,"Device does not start. Loaded for 20 minutes for testing, device is ok. The charging cable is probably defective.",Battery issues
Samsung,unknown,unknown,Repairable,Loud quiet buttons defective.,Other damage
Samsung,unknown,unknown,Repairable,Display replacement.,Display issues
Samsung,unknown,unknown,Repairable,Camera connector loose.,Rear Camera Issues
Apple,unknown,unknown,Repairable,Reinforced with shrink tubing to prevent cable breakage.,Other damage
Samsung,2015,4,Repairable,The Galaxy J3 smartphone had problems with the microphone. We recommended that the guest get a new microphone so we can help him repair it.,Other damage
Apple,unknown,unknown,End of life,Display glass broken. A new display is needed. Shop recommended for repairs.,Screen damage
Samsung,unknown,unknown,Repairable,Display torn and therefore no operation possible.,Display issues
Samsung,unknown,unknown,End of life,The smartphone did not work properly. When unlocked it sometimes reboots. We recommended backing up your data and resetting the device to factory settings.,Other damage
Samsung,unknown,unknown,Unknown,Replace jack plug. When opening the display was completely broken. Repair is not worth it.,Display issues
Samsung,unknown,unknown,Repairable,Display split.,Display issues
Apple,unknown,unknown,Repairable,The battery had already been changed without calibrating it. Note on how to do this.,Battery
Apple,2014,5,Repairable,Charging socket and battery replaced.,Battery
Apple,2017,2,Repairable,n.a.,Other damage
Apple,2017,2,Repairable,Akkuwechsel.,Other damage
Apple,unknown,unknown,Repairable,Glue the battery in place.,Battery
Samsung,unknown,unknown,Repairable,"The smartphone's microphone just hissed. Fortunately, it is located on the cable for the headphone jack and can be replaced individually.",Other damage
Samsung,unknown,unknown,Repairable,"A visitor wanted to replace the cracked display glass on her Samsung “Galaxy J5” smartphone with us, but in the end this turned out to be too time-consuming and impractical. She ultimately decided to replace the entire display unit and now wants to order the necessary spare part by the next date.",Display issues
Apple,unknown,unknown,Repairable,Akku defekt.,Other damage
Apple,unknown,unknown,Repairable,Display replacement.,Screen damage
Samsung,unknown,unknown,Repairable,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again.",Other damage
Samsung,unknown,unknown,Repairable,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again.",Other damage
Apple,2016,3,Repairable,Screen broken.,Screen damage
Samsung,unknown,unknown,Repairable,Akku defekt.,Other damage
Samsung,2017,2,Repairable,Displaywechsel.,Other damage
Apple,2016,2,Repairable,"No longer works, charging socket is defective.",Other damage
Samsung,2014,4,End of life,Doesn't work anymore.,Other damage
Apple,unknown,unknown,End of life,"After replacing the battery some time ago, the smartphone vehemently refused to charge the new battery. In any case, nothing happened when we plugged in the power supply and the charging indicator remained at its low level. All contacts, connectors and cables seemed to be OK, so we ultimately didn't know what to do next.",Battery
Samsung,unknown,unknown,Repairable,"A battery from the phone also had to be disposed of properly. This no longer showed any tension and had already bloated significantly. For this reason, the phone did not show any function and did not charge the battery. But with a new replacement battery it should work again soon.",Battery issues
Apple,unknown,unknown,Repairable,"The display on the iPhone 3 had taken off. The reason for this was the built-in battery, which was quite bloated and needs to be replaced. Then the device will return to its original shape.",Screen damage
Samsung,unknown,unknown,Repairable,"The camera lens had cracked and ruined numerous photo shots for the owner. She had already gotten a replacement. We helped her disassemble the phone according to instructions from the internet, remove the old lens and glue in the new one. This required a lot of patience and sensitivity, as the adhesive surface had to be slowly heated with a hairdryer to soften the adhesive and the lens then had to be carefully lifted off. You should always allow a little more time for such delicate repairs.",Rear Camera Issues
Apple,unknown,unknown,Repairable,"The home button now only responds when pressed very hard. However, since the entire key assembly probably has to be replaced and special tools are required to open and disassemble, we unfortunately had to pass considering the time had already passed. It is better to plan around two hours for such demanding repair work on such highly integrated and sensitive electronics. With a short message in advance, the right tool can also be organized in good time. The visitor now thinks about whether he should buy a spare part and come back with the phone to one of the next appointments.",Other damage
Samsung,unknown,unknown,Repairable,It had a broken display. The repair failed because the old display was removed. Maybe you should try again.,Display issues
Apple,unknown,unknown,Repairable,Two defective devices were turned into one functioning one. A white model had water damage and a silver model had a screen damage. The result was an iPhone with a silver casing and a white home button.,Screen damage
Samsung,unknown,unknown,Repairable,"Glass replaced. broken glass,",Display issues
Samsung,unknown,unknown,Repairable,low battery. purchase and change battery.,Battery issues
Apple,unknown,unknown,Repairable,"Device dismantled, battery removed, new one installed_x000d_ Display has a small error at the bottom right (already noticed before removal)_x000d_ Speaker could be repaired. Spare part required. Install a new battery, the speaker is defective, but it doesn't need to be repaired.",Battery
Samsung,2015,10,Repairable,"Probably an internal contact problem. SIM card is not recognized. Device disassembled, foil connections reconnected.",Other damage
Samsung,2019,6,End of life,"Bad button and the screen breaks. The power button fails, by Juan A. CBA.",Battery issues
Samsung,unknown,unknown,Repairable,lost password.,Other damage
Apple,unknown,unknown,Repairable,install.,Other damage
Samsung,2021,4,Repairable,Screen broken. Display defective. New display installed.,Display issues
Samsung,unknown,unknown,Repairable,Screen defective. Replace screen with accessories.,Display issues
Apple,unknown,unknown,Repairable,screen protector cracked. screen. replaced.,Screen damage
Apple,unknown,unknown,Repairable,broken screen. professional repairer recommended for repair estimate.,Screen damage
Samsung,2021,4,Repairable,doesn't run. unused removed after installation.,Battery issues
Samsung,2015,10,Repairable,Suspected dead battery. Doesn't turn on. Display is crushed. Advised owner to buy a new battery.,Battery issues
Apple,unknown,unknown,Repairable,No email reception. Internet addresses mail.ziggo.nl -> enter home password.,Other damage
Apple,unknown,unknown,Repairable,cracked screen. broken screen. replaced screen enable soft button touch.,Screen damage
Samsung,unknown,unknown,Repairable,"Screen is broken. Order from Amazon, then install.",Display issues
Samsung,unknown,unknown,End of life,bug in motherboard. keeps running in its reset.,Other damage
Samsung,unknown,unknown,Repairable,Yes. Requiring a re-set. Re-set it.,Other damage
Samsung,2023,2,Repairable,. transfer files. WhatsApp backup made + transferred.,Other damage
Apple,unknown,unknown,Repairable,Battery issue. Battery issue. Advised to go to an Apple Store.,Battery
Apple,2020,5,End of life,Unable to repair Apple products. Battery issue.,Battery
Samsung,unknown,unknown,Repairable,explanation needed. fill address book. explanation given.,Other damage
Samsung,2018,7,Repairable,Device should be reset. Device should be reset. Device reset to factory settings.,Other damage
Samsung,2018,7,Repairable,Battery weak. Battery weak. Battery replaced.,Battery issues
Apple,unknown,unknown,Repairable,"needs new battery. battery replaced but home button no longer working, need to order new button.",Battery
Apple,2018,7,End of life,Bad screen. Screen is not functional.,Screen damage
Apple,2020,5,End of life,Unable to repair Apple products. Battery issue.,Battery
Samsung,unknown,unknown,Repairable,On/off is dismayed. On/off button is stuck. Come by Sovak Repaircafe and ask Cor.,Other damage
Samsung,2018,7,Repairable,"Cause of boot error not identified. Won't boot anymore, spins endlessly. Quiet + On key pressed at the same time, booting successfully. New charging cable recommended.",Other damage
Samsung,unknown,unknown,Repairable,Replace battery. Doesn't work anymore.,Battery issues
Apple,unknown,unknown,Repairable,glass cover broken. screen broken. removed broken glass cover and installed new cover.,Screen damage
Samsung,unknown,unknown,Repairable,chipped screen. chipped screen. possible repair elsewhere.,Display issues
Samsung,2020,5,Repairable,"Battery weak. Battery weak. Replacement battery ordered, installation date agreed.",Battery issues
Samsung,unknown,unknown,End of life,HS.,Other damage
Apple,unknown,unknown,Repairable,screen to be replaced. no longer works. screen ordered and replaced with the person.,Screen damage
Apple,unknown,unknown,Repairable,Screen display problem. screen replacement.,Screen damage
Samsung,unknown,unknown,Repairable,touch screen does not work. screen replacement.,Display issues
Samsung,2018,7,Repairable,"The back plate containing the photo lens is cracked, resulting in faded photos. Back plate where the photo lens is cracked. New back plate mounted.",Rear Camera Issues
Samsung,unknown,unknown,Repairable,broken screen. removing glass + screen/Chassis (tutorial). New screen collage with B7000.,Display issues
Samsung,unknown,unknown,Repairable,no. change settings. set.,Other damage
Samsung,2015,10,Repairable,Rebooting was enough. the touch screen no longer responds. Reboot.,Display issues
Samsung,unknown,unknown,Repairable,HS MESSAGE APP. INSTALLING NEW APP.,Display issues
Apple,2025,0,Repairable,no. Data transfer is not possible. Photos transferred from Android device to iPhone via Google.,Other damage
Samsung,unknown,unknown,Repairable,Fingerprint sensor defective. Fingerprint sensor defective. Spare part already purchased.,Display issues
Apple,unknown,unknown,Repairable,not syncing with email - changed default autofill address ok. not syncing with email.,Other damage
Samsung,2020,3,Repairable,"incorrect settings. cant download MMS. identified incorrect settings, compared with official guides.",Other damage
Samsung,2019,4,End of life,Unable to turn on.,Other damage
Apple,2022,2,End of life,Board issue. Will not charge.,Battery
Apple,unknown,unknown,End of life,Back cracked.,Screen damage
Apple,2016,9,End of life,board issue after battery replacement and cleaning. does not charge.,Battery
Apple,unknown,unknown,Repairable,Problem transferring data from old phone. Transferred the data.,Other damage
Apple,2016,8,Repairable,broken headphone socket. replacement circuit board. replaced with spare part.,Other damage
Apple,unknown,unknown,Repairable,HS battery. Don't charge anymore. Battery change (26€ SoSAV),Battery
Samsung,unknown,unknown,Repairable,SIM card blocked.,Other damage
Samsung,unknown,unknown,Repairable,SIM card blocked.,Other damage
Samsung,2018,6,Repairable,"no internet. put the SIM card in another holder, but the Google account appeared to have been reset. Customer should have upgraded her account sooner.",Other damage
