brand,year_of_manufacture,age,repair_status,problem
Apple,unknown,unknown,End of life,no longer loads.
Samsung,unknown,unknown,End of life,Display.
Samsung,unknown,unknown,End of life,Display defective.
Apple,unknown,unknown,End of life,Fire damage.
Samsung,unknown,unknown,End of life,no sound from speakers.
Samsung,unknown,unknown,Repairable,only charges 80% -&gt; Settings changed.
Samsung,unknown,unknown,Repairable,no longer loads.
Samsung,unknown,unknown,Repairable,Mains connection.
Apple,unknown,unknown,End of life,Screen jump.
Samsung,unknown,unknown,End of life,Signal app no ​​longer works.
Samsung,unknown,unknown,Repairable,Advice on how to transfer images and videos to your PC without using a cloud.
Samsung,unknown,unknown,Repairable,"0.25 kg, memory full."
Apple,2018,7,Repairable,Memory full. Advice: Transfer to SanDisk 128GB memory card. Cloiud because Costs and data protection not desired.
Samsung,2018,7,Repairable,Memory full. Transfer images and videos to notebook.
Apple,2021,4,Repairable,Transfer data from iPhone to Android smartphone.
Samsung,unknown,unknown,End of life,Device no longer starts.
Samsung,2010,15,Repairable,"Some buttons don't work, clean them."
Samsung,unknown,unknown,Repairable,camera error software.
Apple,2019,6,Repairable,"Battery defective, battery replaced."
Apple,2018,6,Repairable,Display defective. Replaced and functional test.
Apple,2020,4,Repairable,"Update, Backup."
Apple,2020,4,Repairable,Replace battery and display.
Samsung,unknown,unknown,Repairable,Battery doesn't charge. Charging board defective.
Apple,2021,3,Repairable,Replace battery.
Samsung,2018,6,Repairable,No picture.
Apple,2020,4,Repairable,Software update.
Apple,2017,7,Repairable,Display replacement.
Apple,2018,6,Repairable,Bootloop.
Samsung,2020,4,Repairable,Continued on 12/5/24: - Backplate glued in place.
Samsung,2020,4,Repairable,Charging socket defective. - Charging socket PCB changed (access via back cover). Assembly will take place at the next appointment.
Samsung,2020,4,Repairable,Display damage.
Apple,2019,5,Repairable,"Bootloop, reset and recovery."
Samsung,2020,4,Repairable,Charging socket defective. Guest orders charging board and gets in touch again.
Samsung,2010,14,Repairable,Akku defekt.
Samsung,2017,7,Repairable,WhatsApp and “Google PlayStore” no longer work. - Device memory full - Factory reset - Cloud backup installed.
Samsung,2015,9,Repairable,Stuck in app optimization when starting. - boot into recovery mode - clear cache wasn't enough - factory reset.
Samsung,2019,5,Repairable,Bootloop.
Apple,2021,3,Repairable,Doesn't load.
Apple,2020,4,Repairable,Accessibility setup.
Apple,2021,3,Repairable,"Battery defective, replace."
Apple,unknown,unknown,Repairable,It's turned off and won't turn on anymore.
Samsung,unknown,unknown,End of life,Pictures lost.
Apple,2016,8,Repairable,Replace battery.
Samsung,2009,15,Repairable,Identify charging cable.
Samsung,unknown,unknown,Repairable,"Voice message no longer works --- Microphone cleaned and tested, works (actually no direct error found)"
Apple,2021,3,Repairable,Data transfer and setup.
Apple,2016,8,Repairable,Replace battery.
Apple,unknown,unknown,Repairable,Display is cracked - KD has purchased a new display.
Samsung,unknown,unknown,End of life,The device fell into the water and now you can't tap 3 anymore.
Samsung,2020,4,Repairable,Smartphone could no longer be started after being damaged by a drop. No reaction. The back was removed and the battery plug was reinstalled.
Samsung,2019,5,Repairable,"Back plate loose, falling off. - Glue spots cleaned - Backplate glued back in place."
Samsung,unknown,unknown,End of life,"0.3 kg, display broken."
Samsung,unknown,unknown,End of life,Cell phone doesn't turn on.
Samsung,2021,3,Repairable,"Files end up in the trash, memory is always full. - 46000 photos in device storage - moved to SD card."
Samsung,unknown,unknown,Repairable,"goes on and off, upload mode, thermal reset, motherboard probably broken."
Samsung,2020,4,Repairable,Change battery.
Samsung,2024,0,Repairable,"Speaker defective. - Back cover, screws and frame removed - Adhesive residue using isoprop. removed - loudspeaker exchanged."
Samsung,unknown,unknown,Repairable,Error message: Memory is full.
Samsung,unknown,unknown,End of life,Display doesn't turn on.
Samsung,unknown,unknown,End of life,Display damage. Replacement display also defective. Repairs are no longer worth it.
Apple,unknown,unknown,End of life,Data recovery.
Apple,2018,6,Repairable,Change screen.
Apple,2019,5,Repairable,Display defective.
Samsung,unknown,unknown,Repairable,"0.125 kg, battery defective - no longer charging."
Samsung,unknown,unknown,Repairable,Battery no longer charges. Battery was replaced successfully.
Samsung,2019,5,Repairable,battery is being replaced.
Samsung,2019,5,End of life,"The battery and charging socket circuit board have already been changed by the guest. However, the smartphone does not respond. Both the battery and USB voltage arrive on the mainboard. However, the device no longer responds. An error could not be found."
Samsung,2019,5,Repairable,"The battery usually doesn't charge. Pressing the USB plug could sometimes restore the connection. A new circuit board with a USB socket was inserted and a flex cable that was too kinked, which also caused charging problems, was replaced. Now loading is working properly again."
Samsung,unknown,unknown,Repairable,Touchscreen broken.
Apple,unknown,unknown,Repairable,Display damage.
Samsung,unknown,unknown,End of life,Can no longer be switched on.
Samsung,unknown,unknown,End of life,The device can no longer be switched on.
Apple,unknown,unknown,Repairable,Charging doesn't work.
Apple,unknown,unknown,Repairable,Display replacement.
Apple,2014,10,End of life,Software update.
Apple,2014,10,Repairable,Display damage.
Apple,2016,8,Repairable,Akku defekt.
Samsung,unknown,unknown,Repairable,Help in choosing a suitable memory card.
Apple,unknown,unknown,Repairable,Battery old &gt;&gt; Visitor brought the wrong battery.
Samsung,2019,5,Repairable,Camera no longer works properly. - Main board including camera module changed.
Apple,2014,10,Repairable,Battery replacement/advice.
Apple,unknown,unknown,Repairable,Cell phone glass has cracks.
Apple,unknown,unknown,Repairable,Display damage.
Apple,2018,6,Repairable,Display damage.
Apple,2018,6,Repairable,Akkuwechsel.
Samsung,2018,5,Repairable,Display glass is cracked / display needs to be replaced. The guest has purchased a display replacement set. We swapped the display together. Device is working again.
Samsung,2020,3,Repairable,"Doesn't turn on, battery doesn't charge."
Samsung,2021,2,Repairable,Display replacement and USB port.
Samsung,2019,4,Repairable,Change battery.
Samsung,2018,5,Repairable,"Display error: flickers, sometimes black in cold temperatures. Display needs to be changed."
Apple,unknown,unknown,Repairable,Factory reset for sales.
Samsung,2018,5,Repairable,The system reacts slowly after replacing the display. A quick diagnosis shows that the Android accessibility features were active. Deactivated and the system is performing again.
Samsung,unknown,unknown,Repairable,Setting up an email client on a new smartphone.
Apple,unknown,unknown,End of life,"On/off switch defective,"
Samsung,2020,3,Repairable,"When you connect a charger, your cell phone turns off. - Charging board was changed twice - Problem still exists - Device is now only charged via QI."
Samsung,2017,6,Repairable,Screen broken. - unfortunately ordered the wrong display - guest ordered a suitable one.
Samsung,2017,6,Repairable,"Continued on November 15th, 2023: - correct display installed."
Apple,unknown,unknown,Repairable,Akku defekt.
Samsung,unknown,unknown,Unknown,"Display no longer works and is torn. Dismantling has begun, battery cannot be easily removed. postponed due to lack of time."
Apple,2014,9,Repairable,Change battery.
Samsung,unknown,unknown,Repairable,Cannot connect to WiFi. Incorrect login details.
Apple,unknown,unknown,Repairable,Display and camera should be replaced --- parts from donor device installed.
Samsung,unknown,unknown,Repairable,Lfz.433: Display defective. Display renewed.
Apple,2016,7,Repairable,Replace display.
Samsung,unknown,unknown,Repairable,Remove the vibration function.
Samsung,2017,6,End of life,"Battery too weak, replacement battery available."
Apple,unknown,unknown,Repairable,old and has problems - he wants to open it himself with support &gt;&gt; Replacement battery is ordered by visitor.
Samsung,unknown,unknown,Repairable,Lfz.385: display replacement.
Apple,2018,5,Repairable,Battery no longer runs. - The touch functionality was damaged when the display was removed. - The guest decides at home whether he would like to install a new display.
Apple,2015,8,Repairable,Change battery.
Samsung,2016,7,Repairable,"0.5 kg, lens defective."
Samsung,unknown,unknown,Repairable,Lfz. 367: Inexplicable reports. Fix: Virus scanner installed. Screen lock will be set up later.
Apple,2017,6,Repairable,"Battery replacement, data backup."
Samsung,unknown,unknown,Repairable,Displaybruch.
Samsung,2018,5,Repairable,App Signal could not be installed via Google Playstore. Playstore data and cache reset. Installation works now.
Samsung,unknown,unknown,Repairable,Rear camera lens glass broken.
Samsung,2020,3,End of life,Cannot be switched on despite the battery being charged.
Samsung,unknown,unknown,Repairable,Lfz.212: Device always crashes. Smartphone reset to factory settings.
Samsung,2019,3,Repairable,"Dust behind camera lens, black dot on rear camera. Compressed air blown through -&gt; clean."
Apple,unknown,unknown,End of life,Camera no longer focuses properly.
Samsung,2018,4,Repairable,"Can no longer be charged, USB socket is defective. Socket changed."
Samsung,unknown,unknown,End of life,Doesn't ring.
Samsung,2018,4,End of life,Micro USB socket defective. The AMOLED display was damaged during removal. The repair search was canceled. Data backup is available. The guest gets a new smartphone.
Apple,2016,6,Repairable,Akkuwechsel.
Apple,2016,6,Repairable,Akkuwechsel.
Samsung,2019,3,Repairable,Touchscreen broken.
Samsung,unknown,unknown,End of life,Lfz. 93: Microphone in loudspeaker mode drops out.
Samsung,unknown,unknown,Repairable,Display cracked.
Samsung,2020,2,Repairable,Back cover broken - replaced.
Samsung,2014,8,Repairable,Charging socket defective - replaced.
Samsung,unknown,unknown,Unknown,"0.2 kg input error, device switches off. Guest checks device to see whether it works with external power supply."
Samsung,2017,5,Repairable,Main camera defective. Main camera camera module changed; used camera module apparently defective; Guest changes module for new part.
Samsung,2016,6,Repairable,Battery needs to be changed.
Samsung,unknown,unknown,Repairable,Power switch defective.
Samsung,2018,4,Repairable,Powerbutton.
Samsung,2015,7,Repairable,Replace battery.
Samsung,2013,9,Repairable,The smartphone no longer showed a picture. The display was visibly damaged. We provided advice on replacing the display and procuring spare parts.
Samsung,unknown,unknown,End of life,no longer loads.
Samsung,2016,6,Repairable,Software is not working properly.
Samsung,2014,8,Repairable,Charging socket changed. Spare part purchased by customer (from World of mobiles)
Apple,2018,4,Repairable,"After a fall, the home button stopped working. We checked the connections. After unplugging and plugging in the cable, the button worked again."
Apple,2019,3,Repairable,"Display shows colorful stripes after battery replacement. Checked plug connection, ok. Display damage detected, order will be placed."
Apple,unknown,unknown,Repairable,"Display replaced, not enough time, still needs to be glued in."
Apple,2019,3,Repairable,Display glued in.
Samsung,unknown,unknown,Repairable,Charging socket defective.
Samsung,2012,10,Repairable,Change charging socket.
Samsung,unknown,unknown,Repairable,Display and battery - Display and battery replaced.
Apple,unknown,unknown,Repairable,Swap screen.
Samsung,2019,3,Repairable,Volume control broken.
Samsung,2020,2,Repairable,Camera glass cracked after a fall and crumbs scratched the lens.
Samsung,unknown,unknown,End of life,Doesn't turn on.
Samsung,unknown,unknown,End of life,flickers green.
Samsung,2018,3,Repairable,"The speaker only worked quietly or not at all. In order to avoid having to disassemble the device, we tried a trick. We sprayed a few puffs of “Contact WL” spray into the speaker grill to resolve the suspected contact issues. That also helped a lot, after shaking the spray out of the phone the speaker worked fine again."
Samsung,2019,2,Repairable,Back defective. New back glued on.
Samsung,unknown,unknown,End of life,Akkutausch.
Apple,unknown,unknown,End of life,"Charging board changed, adhesive film on display broken. Rep is set for routing slip ID: 34379."
Apple,unknown,unknown,Repairable,"Display cracked, charging socket defective. Both were ordered, but the charging socket didn't fit because it's for an iPhone 7 Max. Matching items will be ordered."
Apple,unknown,unknown,Repairable,Smartphone completed today.
Samsung,unknown,unknown,Repairable,Doesn't start anymore.
Samsung,unknown,unknown,Repairable,Display needs to be replaced.
Samsung,unknown,unknown,Unknown,Memory full. De-installation was only partially successful.
Apple,unknown,unknown,Repairable,No function device requires the owner's finger.
Samsung,2015,6,Repairable,"It had fallen down and was acting strange. When I turned it on it started, but the display didn't come on. If you tapped on a specific spot, the display would turn on, but sometimes it would simply turn off again. We couldn't find any cracks on the display. We completely disassembled the device looking for a loose plug, but found nothing unusual. After assembling the device worked again without any problems. Perhaps we had now reattached a plug that was no longer completely tight? The owner will continue to monitor and come back if the error occurs again."
Samsung,2015,6,Repairable,Charging no longer worked. You had to use a lot of skill to find a position for the USB plug where it worked. The USB sockets were defective here. We picked out the spare parts.
Samsung,2016,5,Repairable,The battery gets hot when charging and doesn't last long. Owner had replacement/repair kit with him. Battery changed.
Samsung,2016,4,Repairable,"Microphone defective after battery replacement. Device disassembled, time not enough."
Samsung,2018,2,End of life,doesn't come on.
Samsung,2011,9,Repairable,"The guest had two smartphones with him to make a working one. The first had a defect in the display and the motherboard, the other had a broken microphone, but still had a good battery. The operation was successful and the result was a well-functioning device."
Samsung,unknown,unknown,Repairable,"Updates were not installed and various settings were not to the owner's satisfaction. We carried out the updates, made the desired settings and explained the operation to her."
Samsung,2018,2,Repairable,The SIM card holder was broken and the SIM card was stuck in the device. To get the card out we had to open the device. The guest had brought a new adhesive frame as a spare part so that we could reassemble the phone properly. He will take care of a new SIM tray himself.
Samsung,unknown,unknown,Repairable,back to factory settings.
Apple,unknown,unknown,End of life,Battery bloated.
Apple,2015,5,Repairable,"The visitor brought the iPhone with a broken display and had also gotten the right replacement display. With good instructions online and a lot of patience, one of our “specialists” was able to give the device with a new display back to its owner at the end of the day."
Apple,unknown,unknown,Repairable,does not load &gt;&gt; Interruption afterwards.
Samsung,unknown,unknown,End of life,doesn't come on.
Apple,unknown,unknown,Repairable,Replace display.
Apple,unknown,unknown,Repairable,"Following instructions on the Internet, the guest independently replaced the old battery and the worn charging socket, for which he had previously purchased suitable replacement parts. Disassembly, replacement and assembly went smoothly. The only drawback: the Touch ID function no longer worked afterwards and now has to be reactivated again."
Samsung,unknown,unknown,End of life,"Display &gt;&gt; glued, but not repairable."
Apple,unknown,unknown,Repairable,Display cracked.
Samsung,unknown,unknown,Repairable,Display replacement.
Apple,unknown,unknown,Repairable,Software defect. The firmware and software were updated via developer mode.
Samsung,unknown,unknown,Repairable,bad contact at charging socket.
Apple,unknown,unknown,Repairable,Water damage.
Apple,2015,4,Repairable,Water damage.
Apple,2014,5,Repairable,The battery of an “Apple iPhone 4” was once again deeply discharged. So much so that it was no longer possible to shop. The only thing that helps is a new battery. The guest comes back with the new one.
Samsung,2018,1,Repairable,Contact on sim card was dirty.
Samsung,unknown,unknown,Repairable,"Smartphone plug wobbles, no function - battery totally empty - partial success."
Apple,2014,5,Repairable,"The owner of an “iPhone 5s” smartphone had already replaced the battery at home, but unfortunately the device no longer started. He checked all the plug connections and that didn't make any difference. We suspected that the battery was not sufficiently charged and recommended charging it for some time."
Apple,unknown,unknown,End of life,to.
Samsung,unknown,unknown,Repairable,charging socket.
Samsung,unknown,unknown,Repairable,Akku defekt.
Samsung,unknown,unknown,Repairable,Display defective.
Samsung,2012,7,Repairable,"eMMC memory defective, device very slow. Owner provided a replacement mainboard. After the swap everything worked except the camera. He does a FW update at home and comes back if the camera doesn't work."
Samsung,unknown,unknown,Repairable,"Device does not start. Loaded for 20 minutes for testing, device is ok. The charging cable is probably defective."
Samsung,unknown,unknown,Repairable,Loud quiet buttons defective.
Samsung,unknown,unknown,Repairable,Display replacement.
Samsung,unknown,unknown,Repairable,Camera connector loose.
Apple,unknown,unknown,Repairable,Reinforced with shrink tubing to prevent cable breakage.
Samsung,2015,4,Repairable,The Galaxy J3 smartphone had problems with the microphone. We recommended that the guest get a new microphone so we can help him repair it.
Apple,unknown,unknown,End of life,Display glass broken. A new display is needed. Shop recommended for repairs.
Samsung,unknown,unknown,Repairable,Display torn and therefore no operation possible.
Samsung,unknown,unknown,End of life,The smartphone did not work properly. When unlocked it sometimes reboots. We recommended backing up your data and resetting the device to factory settings.
Samsung,unknown,unknown,Unknown,Replace jack plug. When opening the display was completely broken. Repair is not worth it.
Samsung,unknown,unknown,Repairable,Display split.
Apple,unknown,unknown,Repairable,The battery had already been changed without calibrating it. Note on how to do this.
Apple,2014,5,Repairable,Charging socket and battery replaced.
Apple,2017,2,Repairable,n.a.
Apple,2017,2,Repairable,Akkuwechsel.
Apple,unknown,unknown,Repairable,Glue the battery in place.
Samsung,unknown,unknown,Repairable,"The smartphone's microphone just hissed. Fortunately, it is located on the cable for the headphone jack and can be replaced individually."
Samsung,unknown,unknown,Repairable,"A visitor wanted to replace the cracked display glass on her Samsung “Galaxy J5” smartphone with us, but in the end this turned out to be too time-consuming and impractical. She ultimately decided to replace the entire display unit and now wants to order the necessary spare part by the next date."
Apple,unknown,unknown,Repairable,Akku defekt.
Apple,unknown,unknown,Repairable,Display replacement.
Samsung,unknown,unknown,Repairable,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again."
Samsung,unknown,unknown,Repairable,"An elderly lady visited us with a Samsung Galaxy smartphone that no longer wanted to obey her will. After we updated the operating system on the device and reset the data connection, everything worked to your satisfaction again."
Apple,2016,3,Repairable,Screen broken.
Samsung,unknown,unknown,Repairable,Akku defekt.
Samsung,2017,2,Repairable,Displaywechsel.
Apple,2016,2,Repairable,"No longer works, charging socket is defective."
Samsung,2014,4,End of life,Doesn't work anymore.
Apple,unknown,unknown,End of life,"After replacing the battery some time ago, the smartphone vehemently refused to charge the new battery. In any case, nothing happened when we plugged in the power supply and the charging indicator remained at its low level. All contacts, connectors and cables seemed to be OK, so we ultimately didn't know what to do next."
Samsung,unknown,unknown,Repairable,"A battery from the phone also had to be disposed of properly. This no longer showed any tension and had already bloated significantly. For this reason, the phone did not show any function and did not charge the battery. But with a new replacement battery it should work again soon."
Apple,unknown,unknown,Repairable,"The display on the iPhone 3 had taken off. The reason for this was the built-in battery, which was quite bloated and needs to be replaced. Then the device will return to its original shape."
Samsung,unknown,unknown,Repairable,"The camera lens had cracked and ruined numerous photo shots for the owner. She had already gotten a replacement. We helped her disassemble the phone according to instructions from the internet, remove the old lens and glue in the new one. This required a lot of patience and sensitivity, as the adhesive surface had to be slowly heated with a hairdryer to soften the adhesive and the lens then had to be carefully lifted off. You should always allow a little more time for such delicate repairs."
Apple,unknown,unknown,Repairable,"The home button now only responds when pressed very hard. However, since the entire key assembly probably has to be replaced and special tools are required to open and disassemble, we unfortunately had to pass considering the time had already passed. It is better to plan around two hours for such demanding repair work on such highly integrated and sensitive electronics. With a short message in advance, the right tool can also be organized in good time. The visitor now thinks about whether he should buy a spare part and come back with the phone to one of the next appointments."
Samsung,unknown,unknown,Repairable,It had a broken display. The repair failed because the old display was removed. Maybe you should try again.
Apple,unknown,unknown,Repairable,Two defective devices were turned into one functioning one. A white model had water damage and a silver model had a screen damage. The result was an iPhone with a silver casing and a white home button.
Samsung,unknown,unknown,Repairable,"Glass replaced. broken glass,"
Samsung,unknown,unknown,Repairable,low battery. purchase and change battery.
Apple,unknown,unknown,Repairable,"Device dismantled, battery removed, new one installed_x000d_ Display has a small error at the bottom right (already noticed before removal)_x000d_ Speaker could be repaired. Spare part required. Install a new battery, the speaker is defective, but it doesn't need to be repaired."
Samsung,2015,10,Repairable,"Probably an internal contact problem. SIM card is not recognized. Device disassembled, foil connections reconnected."
Samsung,2019,6,End of life,"Bad button and the screen breaks. The power button fails, by Juan A. CBA."
Samsung,unknown,unknown,Repairable,lost password.
Apple,unknown,unknown,Repairable,install.
Samsung,2021,4,Repairable,Screen broken. Display defective. New display installed.
Samsung,unknown,unknown,Repairable,Screen defective. Replace screen with accessories.
Apple,unknown,unknown,Repairable,screen protector cracked. screen. replaced.
Apple,unknown,unknown,Repairable,broken screen. professional repairer recommended for repair estimate.
Samsung,2021,4,Repairable,doesn't run. unused removed after installation.
Samsung,2015,10,Repairable,Suspected dead battery. Doesn't turn on. Display is crushed. Advised owner to buy a new battery.
Apple,unknown,unknown,Repairable,No email reception. Internet addresses mail.ziggo.nl -> enter home password.
Apple,unknown,unknown,Repairable,cracked screen. broken screen. replaced screen enable soft button touch.
Samsung,unknown,unknown,Repairable,"Screen is broken. Order from Amazon, then install."
Samsung,unknown,unknown,End of life,bug in motherboard. keeps running in its reset.
Samsung,unknown,unknown,Repairable,Yes. Requiring a re-set. Re-set it.
Samsung,2023,2,Repairable,. transfer files. WhatsApp backup made + transferred.
Apple,unknown,unknown,Repairable,Battery issue. Battery issue. Advised to go to an Apple Store.
Apple,2020,5,End of life,Unable to repair Apple products. Battery issue.
Samsung,unknown,unknown,Repairable,explanation needed. fill address book. explanation given.
Samsung,2018,7,Repairable,Device should be reset. Device should be reset. Device reset to factory settings.
Samsung,2018,7,Repairable,Battery weak. Battery weak. Battery replaced.
Apple,unknown,unknown,Repairable,"needs new battery. battery replaced but home button no longer working, need to order new button."
Apple,2018,7,End of life,Bad screen. Screen is not functional.
Apple,2020,5,End of life,Unable to repair Apple products. Battery issue.
Samsung,unknown,unknown,Repairable,On/off is dismayed. On/off button is stuck. Come by Sovak Repaircafe and ask Cor.
Samsung,2018,7,Repairable,"Cause of boot error not identified. Won't boot anymore, spins endlessly. Quiet + On key pressed at the same time, booting successfully. New charging cable recommended."
Samsung,unknown,unknown,Repairable,Replace battery. Doesn't work anymore.
Apple,unknown,unknown,Repairable,glass cover broken. screen broken. removed broken glass cover and installed new cover.
Samsung,unknown,unknown,Repairable,chipped screen. chipped screen. possible repair elsewhere.
Samsung,2020,5,Repairable,"Battery weak. Battery weak. Replacement battery ordered, installation date agreed."
Samsung,unknown,unknown,End of life,HS.
Apple,unknown,unknown,Repairable,screen to be replaced. no longer works. screen ordered and replaced with the person.
Apple,unknown,unknown,Repairable,Screen display problem. screen replacement.
Samsung,unknown,unknown,Repairable,touch screen does not work. screen replacement.
Samsung,2018,7,Repairable,"The back plate containing the photo lens is cracked, resulting in faded photos. Back plate where the photo lens is cracked. New back plate mounted."
Samsung,unknown,unknown,Repairable,broken screen. removing glass + screen/Chassis (tutorial). New screen collage with B7000.
Samsung,unknown,unknown,Repairable,no. change settings. set.
Samsung,2015,10,Repairable,Rebooting was enough. the touch screen no longer responds. Reboot.
Samsung,unknown,unknown,Repairable,HS MESSAGE APP. INSTALLING NEW APP.
Apple,2025,0,Repairable,no. Data transfer is not possible. Photos transferred from Android device to iPhone via Google.
Samsung,unknown,unknown,Repairable,Fingerprint sensor defective. Fingerprint sensor defective. Spare part already purchased.
Apple,unknown,unknown,Repairable,not syncing with email - changed default autofill address ok. not syncing with email.
Samsung,2020,3,Repairable,"incorrect settings. cant download MMS. identified incorrect settings, compared with official guides."
Samsung,2019,4,End of life,Unable to turn on.
Apple,2022,2,End of life,Board issue. Will not charge.
Apple,unknown,unknown,End of life,Back cracked.
Apple,2016,9,End of life,board issue after battery replacement and cleaning. does not charge.
Apple,unknown,unknown,Repairable,Problem transferring data from old phone. Transferred the data.
Apple,2016,8,Repairable,broken headphone socket. replacement circuit board. replaced with spare part.
Apple,unknown,unknown,Repairable,HS battery. Don't charge anymore. Battery change (26€ SoSAV)
Samsung,unknown,unknown,Repairable,SIM card blocked.
Samsung,unknown,unknown,Repairable,SIM card blocked.
Samsung,2018,6,Repairable,"no internet. put the SIM card in another holder, but the Google account appeared to have been reset. Customer should have upgraded her account sooner."
Samsung,unknown,unknown,End of life,no. clogged contact/port.
Apple,unknown,unknown,Repairable,new battery in. Replace battery. Replace battery.
Samsung,2024,0,Repairable,"Virus. intermittent failure, by Ester. clean and tight."
Apple,unknown,unknown,Repairable,WhatsApp doesn't work. App settings adjusted.
Apple,2020,4,Repairable,"Broken glass. Cracked glass. Tape applied over sharp edges, phone function ok, customer advised of need to be careful when using. Alternative would be expensive repair by Apple."
Apple,2023,1,Repairable,"Glass broken. Cracked. Broken glass covered with tape to protect from sharp glass, phone function good, advised customer to be careful as phone is still fragile. Complete repair would require new screen and back glass, cost would be considerable and need to be carried out by Apple if security features were to continue to function."
Samsung,2021,3,Repairable,no more time. Memory? come back early in the afternoon.
Samsung,unknown,unknown,End of life,screen broken. remove photos.
Samsung,unknown,unknown,Repairable,remove photos.
Apple,2023,1,Repairable,small damage on screen. need to find glass glue.
Apple,2010,14,Repairable,"Battery weak. Battery weak. Device opened, battery replaced."
Samsung,2019,5,End of life,No function. No function.
Samsung,2022,2,Repairable,Something stuck in jack. Something stuck in the jack. Could get plug out. Need dismantling. Have suggested coming back when Luke is here.
Apple,unknown,unknown,Repairable,no sound. to iPhone specialist.
Samsung,2021,3,End of life,Battery needs replacing.
Apple,2020,4,Repairable,Smashed screen. Needs new screen (supplied) Fitted new screen but no display. Advised client to take to phone shop.
Apple,2020,4,Repairable,Battery defective. Change battery. exchanged.
Samsung,unknown,unknown,Repairable,"LCD needs replacing. Water damage, display issues and shorting amps. Advised price of LCD, client could not afford."
Samsung,unknown,unknown,Repairable,Institutions. Institutions. Settings reset.
Samsung,2018,6,Repairable,"Stuck in a boot loop. Not starting, going around in a loop. Did a hard reset. Battery flat so charged a little. Seems OK now."
Apple,unknown,unknown,Repairable,HS screen. HS screen. changing the screen.
Samsung,unknown,unknown,Repairable,broken screen. changing the screen.
Apple,unknown,unknown,Repairable,Not registered for MMS. Not allowing to send a photo to an Android phone since switching from Optus to Dodo. Advised them to call Dodo to register for MMS functionality.
Samsung,2019,5,End of life,"becomes warm, replace battery. it doesn't work."
Samsung,2022,2,End of life,email not working.
Apple,unknown,unknown,Repairable,Email password not known. Emails not coming down. Sorted email account for Hotmail.
Apple,unknown,unknown,Repairable,Flat batter and user config error. Won't switch on. Caps lock was permanently locked on. Battery totally flat - recharged to 20% - config adjusted for normal operations.
Samsung,unknown,unknown,Repairable,does not work (after fall) sent to phone shop.
Samsung,unknown,unknown,Repairable,screen change. changing the screen.
Samsung,unknown,unknown,Repairable,"Screen to change. Needs diagnosis, no longer works. Order a screen."
Samsung,2023,1,End of life,It keeps circling back to the previous owner. login problems.
Samsung,2014,10,Repairable,no longer charges. buy a new charger.
Samsung,unknown,unknown,Repairable,SD card problem. card problem.
Apple,2023,1,End of life,System blocked. Forgotten password.
Apple,unknown,unknown,Repairable,screen to be repaired. No longer lights up. Changed the screen.
Samsung,2020,4,Repairable,device too old. set dates. Account set up.
Samsung,unknown,unknown,Repairable,"No more space in memory. Such slow, memory? Update, deletion of cache files and excess apps."
Samsung,unknown,unknown,Repairable,component change.
Samsung,unknown,unknown,Repairable,Charging problem. Charging problem. replacement of the connector.
Samsung,2021,3,Repairable,A specific healthrelated app didn't startup anymore. And made the phone unresponsive? Reinstalled the problematic app.
